industry,senator
Industrial Machinery/Components,Thomas R. Carper
Apparel,Thomas R. Carper
Apparel,Thomas R. Carper
Computer Communications Equipment,Thomas R. Carper
Industrial Machinery/Components,Tammy Duckworth
Medical/Dental Instruments,Tina Smith
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tina Smith
Medical/Dental Instruments,Tina Smith
Major Banks,Gary C. Peters
Real Estate Investment Trusts,Gary C. Peters
Steel/Iron Ore,Gary C. Peters
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Semiconductors,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Precious Metals,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Containers/Packaging,Tommy Tuberville
Precious Metals,Tommy Tuberville
Computer Manufacturing,Thomas R. Carper
Semiconductors,Thomas R. Carper
Major Banks,Mitch Mcconnell
Investment Bankers/Brokers/Service,Dan Sullivan
Package Goods/Cosmetics,Dan Sullivan
Package Goods/Cosmetics,Dan Sullivan
"Computer Software: Programming, Data Processing",Dan Sullivan
Radio And Television Broadcasting And Communications Equipment,Thomas R. Carper
Restaurants,Thomas R. Carper
Environmental Services,Thomas R. Carper
Semiconductors,Thomas R. Carper
Oilfield Services/Equipment,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Agricultural Chemicals,Thomas R. Carper
Oil & Gas Production,Thomas R. Carper
Aerospace,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Investment Managers,Thomas R. Carper
Finance Companies,Thomas R. Carper
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Apparel,Tommy Tuberville
Precious Metals,Tommy Tuberville
Business Services,Tommy Tuberville
Beverages (Production/Distribution),Tommy Tuberville
Computer Manufacturing,Tommy Tuberville
Semiconductors,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Precious Metals,Tommy Tuberville
Oil & Gas Production,Dan Sullivan
Major Banks,Dan Sullivan
Medical/Nursing Services,Dan Sullivan
Major Pharmaceuticals,Dan Sullivan
Transportation Services,Dan Sullivan
Major Pharmaceuticals,Dan Sullivan
Catalog/Specialty Distribution,Dan Sullivan
Industrial Specialties,Dan Sullivan
Precious Metals,Thomas R. Carper
Hotels/Resorts,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Electrical Products,Thomas R. Carper
Medical Electronics,Thomas R. Carper
Precious Metals,Thomas R. Carper
Medical/Dental Instruments,Thomas R. Carper
Medical/Nursing Services,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Property-Casualty Insurers,Thomas R. Carper
Investment Bankers/Brokers/Service,Thomas R. Carper
Oil & Gas Production,Thomas R. Carper
Integrated oil Companies,Thomas R. Carper
Restaurants,Thomas R. Carper
Computer Software: Prepackaged Software,Maria Cantwell
Precious Metals,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Services-Misc. Amusement & Recreation,Tommy Tuberville
Package Goods/Cosmetics,Tommy Tuberville
Containers/Packaging,Tommy Tuberville
Business Services,Tommy Tuberville
Package Goods/Cosmetics,Tommy Tuberville
Specialty Chemicals,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Precious Metals,Tommy Tuberville
Business Services,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Precious Metals,Tommy Tuberville
Consumer Electronics/Appliances,Jacky Rosen
Consumer Electronics/Appliances,Jacky Rosen
Consumer Electronics/Appliances,Jacky Rosen
Consumer Electronics/Appliances,Jacky Rosen
Major Banks,Sheldon Whitehouse
Major Banks,Sheldon Whitehouse
Movies/Entertainment,John W. Hickenlooper
Broadcasting,John W. Hickenlooper
Broadcasting,John W. Hickenlooper
Television Services,John W. Hickenlooper
Television Services,John W. Hickenlooper
Medical/Dental Instruments,Dan Sullivan
Business Services,Dan Sullivan
Internet and Information Services,Dan Sullivan
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Dan Sullivan
Building Materials,Dan Sullivan
EDP Services,Dan Sullivan
Biotechnology: Pharmaceutical Preparations,Dan Sullivan
Television Services,Dan Sullivan
Medical/Dental Instruments,Dan Sullivan
"Computer Software: Programming, Data Processing",Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Paints/Coatings,Dan Sullivan
Services-Misc. Amusement & Recreation,Dan Sullivan
Semiconductors,Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Internet and Information Services,Dan Sullivan
Computer Manufacturing,Dan Sullivan
Catalog/Specialty Distribution,Dan Sullivan
"Computer Software: Programming, Data Processing",Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Services-Misc. Amusement & Recreation,Dan Sullivan
Semiconductors,Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Internet and Information Services,Dan Sullivan
Computer Manufacturing,Dan Sullivan
Catalog/Specialty Distribution,Dan Sullivan
"Computer Software: Programming, Data Processing",Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Services-Misc. Amusement & Recreation,Dan Sullivan
Semiconductors,Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Internet and Information Services,Dan Sullivan
Computer Manufacturing,Dan Sullivan
Catalog/Specialty Distribution,Dan Sullivan
"Computer Software: Programming, Data Processing",Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Major Pharmaceuticals,Dan Sullivan
Clothing/Shoe/Accessory Stores,Dan Sullivan
Industrial Machinery/Components,Dan Sullivan
Computer Software: Prepackaged Software,Dan Sullivan
Industrial Machinery/Components,Dan Sullivan
Semiconductors,Tommy Tuberville
Semiconductors,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Semiconductors,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Semiconductors,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Business Services,Tommy Tuberville
Precious Metals,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Precious Metals,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Finance Companies,Thomas R. Carper
Finance Companies,Thomas R. Carper
Finance Companies,Thomas R. Carper
Finance Companies,Thomas R. Carper
Finance Companies,Thomas R. Carper
Movies/Entertainment,John W. Hickenlooper
Movies/Entertainment,John W. Hickenlooper
Television Services,John W. Hickenlooper
Television Services,John W. Hickenlooper
Broadcasting,John W. Hickenlooper
Broadcasting,John W. Hickenlooper
Movies/Entertainment,John W. Hickenlooper
Movies/Entertainment,John W. Hickenlooper
Computer Software: Prepackaged Software,Tommy Tuberville
Precious Metals,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Integrated oil Companies,Tommy Tuberville
Integrated oil Companies,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Investment Managers,Tommy Tuberville
Investment Managers,Tommy Tuberville
Investment Managers,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Other Consumer Services,Tommy Tuberville
Business Services,Tommy Tuberville
Other Specialty Stores,Tommy Tuberville
Homebuilding,Tommy Tuberville
Packaged Foods,Tommy Tuberville
Real Estate Investment Trusts,Tommy Tuberville
Integrated oil Companies,Tommy Tuberville
Real Estate Investment Trusts,Tommy Tuberville
Business Services,Tommy Tuberville
Real Estate Investment Trusts,Tommy Tuberville
Semiconductors,Tommy Tuberville
Shoe Manufacturing,Tommy Tuberville
Computer Communications Equipment,Tommy Tuberville
Biotechnology: Biological Products (No Diagnostic Substances),Tommy Tuberville
Real Estate Investment Trusts,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
EDP Services,Tommy Tuberville
Investment Bankers/Brokers/Service,Tommy Tuberville
Medical/Dental Instruments,Tommy Tuberville
Investment Bankers/Brokers/Service,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Semiconductors,Tommy Tuberville
Beverages (Production/Distribution),Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tommy Tuberville
Investment Bankers/Brokers/Service,Tommy Tuberville
Biotechnology: In Vitro & In Vivo Diagnostic Substances,Tommy Tuberville
Aerospace,Tommy Tuberville
Fluid Controls,Tommy Tuberville
Other Consumer Services,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
RETAIL: Building Materials,Tommy Tuberville
Package Goods/Cosmetics,Tommy Tuberville
Package Goods/Cosmetics,Tommy Tuberville
Semiconductors,Tommy Tuberville
Industrial Specialties,Tommy Tuberville
Major Chemicals,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Air Freight/Delivery Services,Tommy Tuberville
Telecommunications Equipment,Thomas R. Carper
Medical/Nursing Services,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Semiconductors,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Finance Companies,Thomas R. Carper
Major Pharmaceuticals,Thomas R. Carper
Services-Misc. Amusement & Recreation,Thomas R. Carper
Semiconductors,Thomas R. Carper
Investment Managers,Thomas R. Carper
Finance Companies,Thomas R. Carper
Department/Specialty Retail Stores,Dan Sullivan
Computer Software: Prepackaged Software,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Major Banks,Mitch Mcconnell
Major Pharmaceuticals,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
RETAIL: Building Materials,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Semiconductors,Tommy Tuberville
Semiconductors,Tommy Tuberville
Precious Metals,Tommy Tuberville
Business Services,Tommy Tuberville
RETAIL: Building Materials,Thomas R. Carper
Finance Companies,Thomas R. Carper
Finance Companies,Thomas R. Carper
Real Estate Investment Trusts,Gary C. Peters
Precious Metals,Tommy Tuberville
Office Equipment/Supplies/Services,Shelley Moore Capito
Department/Specialty Retail Stores,Shelley Moore Capito
Military/Government/Technical,Deb Fischer
Beverages (Production/Distribution),Deb Fischer
Computer Communications Equipment,Deb Fischer
Construction/Ag Equipment/Trucks,Deb Fischer
Major Banks,Bill Hagerty
Major Banks,Bill Hagerty
Major Banks,Bill Hagerty
Semiconductors,Shelley Moore Capito
Auto Manufacturing,Shelley Moore Capito
Medical/Dental Instruments,Shelley Moore Capito
Power Generation,Shelley Moore Capito
Computer Software: Prepackaged Software,Shelley Moore Capito
Computer Manufacturing,Shelley Moore Capito
Semiconductors,Shelley Moore Capito
Beverages (Production/Distribution),Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Paints/Coatings,Dan Sullivan
Business Services,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Semiconductors,Tommy Tuberville
Metal Mining,Tommy Tuberville
Business Services,Tommy Tuberville
Finance Companies,Tommy Tuberville
Integrated oil Companies,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Business Services,Tommy Tuberville
Semiconductors,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Semiconductors,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Semiconductors,Tommy Tuberville
Semiconductors,Tommy Tuberville
Finance Companies,Tommy Tuberville
Major Banks,Mitch Mcconnell
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Other Consumer Services,Thomas R. Carper
Property-Casualty Insurers,Bill Hagerty
Television Services,John W. Hickenlooper
Television Services,John W. Hickenlooper
Broadcasting,John W. Hickenlooper
Broadcasting,John W. Hickenlooper
Computer Software: Prepackaged Software,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Real Estate Investment Trusts,John Thune
Aerospace,Thomas R. Carper
Precious Metals,Thomas R. Carper
Specialty Chemicals,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Major Banks,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Consumer Electronics/Video Chains,Tommy Tuberville
Major Banks,Tommy Tuberville
Major Banks,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Metal Fabrications,Tommy Tuberville
Major Banks,Tommy Tuberville
Major Banks,Tommy Tuberville
Building Materials,Tommy Tuberville
Beverages (Production/Distribution),Tommy Tuberville
Major Banks,Tommy Tuberville
Major Chemicals,Tommy Tuberville
Railroads,Tommy Tuberville
Telecommunications Equipment,Tommy Tuberville
Clothing/Shoe/Accessory Stores,Tommy Tuberville
Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Medical/Dental Instruments,Tommy Tuberville
Major Banks,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Investment Bankers/Brokers/Service,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tommy Tuberville
Specialty Insurers,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Biotechnology: Pharmaceutical Preparations,Tommy Tuberville
Aerospace,Tommy Tuberville
Precious Metals,Tommy Tuberville
Other Consumer Services,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
"Computer Software: Programming, Data Processing",Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Metal Mining,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Computer Manufacturing,Ron Wyden
Computer Manufacturing,Ron Wyden
Major Banks,Mitch Mcconnell
Electric Utilities: Central,Shelley Moore Capito
Computer Software: Prepackaged Software,Shelley Moore Capito
Industrial Machinery/Components,Shelley Moore Capito
RETAIL: Building Materials,Shelley Moore Capito
Computer Manufacturing,Shelley Moore Capito
Oil & Gas Production,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Precious Metals,Tommy Tuberville
Engineering & Construction,Mark R. Warner
Package Goods/Cosmetics,Susan M. Collins
EDP Services,Susan M. Collins
Apparel,Susan M. Collins
Medical Specialities,Susan M. Collins
Medical/Dental Instruments,Susan M. Collins
Specialty Foods,Susan M. Collins
Semiconductors,Susan M. Collins
Catalog/Specialty Distribution,Susan M. Collins
Semiconductors,Tommy Tuberville
Precious Metals,Tommy Tuberville
Business Services,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Semiconductors,Tommy Tuberville
Medical/Nursing Services,Tommy Tuberville
Telecommunications Equipment,Tommy Tuberville
Medical/Dental Instruments,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Computer Manufacturing,Tommy Tuberville
Semiconductors,Tommy Tuberville
Beverages (Production/Distribution),Tommy Tuberville
Computer Communications Equipment,Tommy Tuberville
Integrated oil Companies,Tommy Tuberville
Biotechnology: Biological Products (No Diagnostic Substances),Tommy Tuberville
Semiconductors,Tommy Tuberville
Precious Metals,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
Power Generation,Tommy Tuberville
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Other Pharmaceuticals,Tommy Tuberville
Apparel,Tommy Tuberville
Military/Government/Technical,Tommy Tuberville
Beverages (Production/Distribution),Tommy Tuberville
Farming/Seeds/Milling,Tommy Tuberville
Package Goods/Cosmetics,Tommy Tuberville
Meat/Poultry/Fish,Tommy Tuberville
Power Generation,Tommy Tuberville
Movies/Entertainment,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Biotechnology: Biological Products (No Diagnostic Substances),Tommy Tuberville
Plastic Products,Tommy Tuberville
EDP Services,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Business Services,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Water Supply,Tommy Tuberville
Computer Manufacturing,Tommy Tuberville
Apparel,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Business Services,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Electric Utilities: Central,Tommy Tuberville
Aerospace,Tommy Tuberville
Department/Specialty Retail Stores,Tommy Tuberville
Finance Companies,Thomas R. Carper
Semiconductors,Thomas R. Carper
Finance Companies,Thomas R. Carper
Major Banks,Thomas R. Carper
Oil & Gas Production,Thomas R. Carper
Radio And Television Broadcasting And Communications Equipment,Thomas R. Carper
Finance/Investors Services,Thomas R. Carper
Military/Government/Technical,Thomas R. Carper
Medical/Nursing Services,Thomas R. Carper
Semiconductors,Thomas R. Carper
Life Insurance,Thomas R. Carper
Property-Casualty Insurers,Thomas R. Carper
Finance/Investors Services,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Industrial Machinery/Components,Thomas R. Carper
Major Pharmaceuticals,Thomas R. Carper
Aerospace,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Investment Managers,Thomas R. Carper
Industrial Machinery/Components,Thomas R. Carper
Computer Manufacturing,Thomas R. Carper
Computer Communications Equipment,Thomas R. Carper
Telecommunications Equipment,Thomas R. Carper
Semiconductors,Thomas R. Carper
Business Services,Thomas R. Carper
Finance Companies,Thomas R. Carper
Telecommunications Equipment,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Precious Metals,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Agricultural Chemicals,Thomas R. Carper
Finance Companies,Thomas R. Carper
Electric Utilities: Central,Thomas R. Carper
Other Consumer Services,Thomas R. Carper
Major Pharmaceuticals,Thomas R. Carper
Services-Misc. Amusement & Recreation,Thomas R. Carper
Major Pharmaceuticals,Thomas R. Carper
Major Pharmaceuticals,Shelley Moore Capito
Telecommunications Equipment,Shelley Moore Capito
Major Banks,Jerry Moran
Computer Software: Prepackaged Software,Jerry Moran
Biotechnology: Biological Products (No Diagnostic Substances),Jerry Moran
Integrated oil Companies,Jerry Moran
Medical/Nursing Services,Jerry Moran
Major Banks,Jerry Moran
Computer Manufacturing,Jerry Moran
Industrial Specialties,Jerry Moran
Major Pharmaceuticals,Jerry Moran
Containers/Packaging,Jerry Moran
Television Services,Jerry Moran
Computer Communications Equipment,Jerry Moran
Medical Specialities,Jerry Moran
Major Banks,Jerry Moran
Major Banks,Jerry Moran
Computer Software: Prepackaged Software,Jerry Moran
Food Chains,Jerry Moran
Biotechnology: Biological Products (No Diagnostic Substances),Jerry Moran
"Computer Software: Programming, Data Processing",Jerry Moran
Integrated oil Companies,Jerry Moran
Medical/Nursing Services,Jerry Moran
Medical/Nursing Services,Jerry Moran
Major Banks,Jerry Moran
Computer Manufacturing,Jerry Moran
"Computer Software: Programming, Data Processing",Jerry Moran
Telecommunications Equipment,Jerry Moran
Industrial Specialties,Jerry Moran
Major Pharmaceuticals,Jerry Moran
Containers/Packaging,Jerry Moran
Television Services,Jerry Moran
Computer Communications Equipment,Jerry Moran
Medical Specialities,Jerry Moran
Major Banks,Jerry Moran
Real Estate Investment Trusts,John Thune
Computer Manufacturing,Tommy Tuberville
Business Services,Tommy Tuberville
Precious Metals,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Computer peripheral equipment,Tommy Tuberville
EDP Services,Bill Hagerty
Real Estate Investment Trusts,Bill Hagerty
Property-Casualty Insurers,Bill Hagerty
Real Estate Investment Trusts,Bill Hagerty
Property-Casualty Insurers,Bill Hagerty
Major Banks,Bill Hagerty
Finance: Consumer Services,Bill Hagerty
Beverages (Production/Distribution),Bill Hagerty
Natural Gas Distribution,Bill Hagerty
Natural Gas Distribution,Bill Hagerty
Real Estate Investment Trusts,Bill Hagerty
"Trusts, Except Educational, Religious, and Charitable",Thomas R. Carper
Automotive Aftermarket,Bill Hagerty
Major Banks,Mitch Mcconnell
Business Services,John W. Hickenlooper
Semiconductors,John W. Hickenlooper
Computer Software: Prepackaged Software,John W. Hickenlooper
"Computer Software: Programming, Data Processing",John W. Hickenlooper
Computer Manufacturing,John W. Hickenlooper
Catalog/Specialty Distribution,John W. Hickenlooper
"Computer Software: Programming, Data Processing",John W. Hickenlooper
"Computer Software: Programming, Data Processing",John W. Hickenlooper
Computer Software: Prepackaged Software,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Computer Manufacturing,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Business Services,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
