id,ticker,ticker_data
226,LOW,226
227,ROAD,227
228,UL,228
229,WEX,229
230,VFC,230
231,HSIC,231
232,HSY,232
233,WBA,233
234,PFE,234
235,ABC,235
236,CTAS,236
237,PEP,237
238,PM,238
239,TSN,239
240,XEL,240
241,FUN,241
242,CRWD,242
243,GILD,243
244,NWL,244
245,PEGA,245
246,ACN,246
247,AWK,247
248,LLY,248
249,MA,249
250,WMT,250
251,TTE,251
252,ARCC,252
253,MET,253
254,GLAD,254
255,ETN,255
256,GLW,256
257,AY,257
258,JNJ,258
259,USB,259
260,BAC,260
261,PII,261
262,CI,262
263,BK,263
264,FB,264
265,DVA,265
266,DDOG,266
267,RHP,267
268,RNR,268
269,PNFP,269
270,ENVA,270
271,CCEP,271
272,BKEP,272
273,NS,273
274,CLDT,274
275,CEM,275
276,VRM,276
277,GOOGL,277
278,CAG,278
279,OFC,279
280,SPG,280
281,APAM,281
282,AON,282
283,CALX,283
284,BDX,284
285,D,285
286,GD,286
287,SNOW,287
288,KEYS,288
289,KLAC,289
290,WAL,290
291,DECK,291
292,CHE,292
293,J,293
294,NRDY,294
295,MCHP,295
296,T,296
297,SSBK,297
298,WW,298
299,ARE,299
300,COR,300
301,TDY,301
302,WY,302
303,DG,303
304,CSX,304
305,WAT,305
306,TER,306
307,SWKS,307
308,DGX,308
309,ODFL,309
310,NTES,310
311,IEX,311
312,FTNT,312
313,EA,313
314,EBAY,314
315,CL,315
316,ADP,316
317,FCX,317
318,NOK,318
319,BA,319
320,QRTEA,320
321,NTRA,321
322,NUAN,322
323,GAN,323
324,CWEN,324
325,MTCH,325
326,UBSI,326
327,BLK,327
328,STZ,328
329,QRTEP,329
330,STX,330
331,PENN,331
332,GME,332
333,SHOP,333
334,STAG,334
335,AEP,335
336,PBA,336
337,VIAV,337
338,EVOP,338
339,FEYE,339
340,AJRD,340
341,CRSP,341
342,UNH,342
343,PSX,343
344,SYY,344
345,NTAP,345
346,PLUG,346
347,EXPI,347
348,ETY,348
349,W,349
350,ZM,350
351,AIV,351
352,PLD,352
353,BYND,353
354,DAL,354
355,SNPS,355
356,OHI,356
357,ERIC,357
358,ACIW,358
359,CONE,359
360,GMAB,360
361,BAH,361
362,HBI,362
363,NTLA,363
364,ARNA,364
365,PAGS,365
366,HAL,366
367,WDAY,367
368,NVAX,368
369,CB,369
370,TT,370
371,AMWD,371
372,SLB,372
373,COP,373
374,ALL,374
375,MPC,375
376,PSA,376
377,COUP,377
378,MAR,378
379,VAC,379
380,OSK,380
381,ICE,381
382,NKLA,382
383,TGT,383
384,AAL,384
385,SPOT,385
386,TRIP,386
387,BAM,387
388,VMC,388
389,BERY,389
390,DPZ,390
391,BLL,391
392,BRY,392
393,LYV,393
394,MU,394
395,GPK,395
396,DVN,396
397,ALB,397
398,URBN,398
399,AXTA,399
400,VIAC,400
401,GM,401
402,ENB,402
403,TRP,403
404,CEQP,404
405,NWSA,405
406,NKE,406
407,BX,407
408,ANTM,408
409,FOX,409
410,CTSH,410
411,RL,411
412,STT,412
413,UHAL,413
414,MO,414
415,KMI,415
416,HCA,416
417,PRU,417
418,EMR,418
419,M,419
420,SU,420
421,FHB,421
422,FOXA,422
423,HUN,423
424,NWS,424
425,MSM,425
426,EAF,426
427,PAGP,427
428,PSXP,428
429,SUN,429
430,EPD,430
431,LNG,431
432,MMP,432
433,OKE,433
434,PAA,434
435,SHLX,435
436,WMB,436
437,TRGP,437
438,MPLX,438
439,ET,439
440,HD,440
441,BP,441
442,AFL,442
443,URI,443
444,SO,444
445,GDV,445
446,TEL,446
447,DRI,447
448,PKG,448
449,KNX,449
450,NVO,450
451,TEX,451
452,KHC,452
453,HIG,453
454,DFS,454
455,K,455
456,GS,456
457,AIG,457
458,AGCO,458
459,CTXS,459
460,SAP,460
461,DOCU,461
462,JD,462
463,FIS,463
464,WDC,464
465,TRV,465
466,PGR,466
467,PANW,467
468,NNVC,468
469,CR,469
470,CAH,470
471,AIZ,471
472,ADM,472
473,HELE,473
474,VTR,474
475,TDG,475
476,DXCM,476
477,PODD,477
478,ILMN,478
479,CGNX,479
480,CZR,480
