transaction_date,owner,ticker,asset_type,type,amount,state,industry,senator
4/29/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
4/23/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
4/19/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
4/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
4/17/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
4/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
4/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
4/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
4/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
4/10/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
4/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
4/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
4/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
4/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
4/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
4/4/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
3/29/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
3/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Ted Cruz
3/18/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
3/15/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
3/13/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
3/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
3/11/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
3/7/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
3/7/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
3/7/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,"Angus S. King, Jr."
3/5/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
2/27/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
2/26/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
2/26/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
2/26/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Pat Roberts
2/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Ted Cruz
2/25/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Sheldon Whitehouse
2/15/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
2/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thad Cochran
2/14/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
2/13/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Benjamin L Cardin
2/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,John Hoeven
2/12/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Mark R. Warner
2/11/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Jack Reed
2/8/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Susan M. Collins
2/7/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
2/6/2013,N/A,N/A,PDF Disclosed Filing,N/A,,,,Richard Burr
